Nomor,D1,D2,D3,R1,R2,R3,K1,K2,K3,Category
243,0.937738498,0.933056822,0.865800171,9.375,9.430338542,9.388020833,8.69140625,10.15625,10.15625,3
244,0.933056822,0.865800171,0.854874549,9.430338542,9.388020833,9.404296875,10.15625,10.15625,9.08203125,3
245,0.865800171,0.854874549,0.851476198,9.388020833,9.404296875,9.407552083,10.15625,9.08203125,8.59375,3
246,0.854874549,0.851476198,0.846544104,9.404296875,9.407552083,9.4140625,9.08203125,8.59375,8.88671875,3
247,0.851476198,0.846544104,0.809259051,9.407552083,9.4140625,9.361979167,8.59375,8.88671875,9.1796875,3
248,0.846544104,0.809259051,0.802840144,9.4140625,9.361979167,9.375,8.88671875,9.1796875,9.1796875,3
249,0.809259051,0.802840144,0.801090558,9.361979167,9.375,9.322916667,9.1796875,9.1796875,8.59375,3
250,0.802840144,0.801090558,0.8063891,9.375,9.322916667,9.300130208,9.1796875,8.59375,8.7890625,3
251,0.801090558,0.8063891,0.803222358,9.322916667,9.300130208,9.303385417,8.59375,8.7890625,8.59375,3
252,0.8063891,0.803222358,0.809157453,9.300130208,9.303385417,9.274088542,8.7890625,8.59375,8.69140625,3
253,0.803222358,0.809157453,0.816440139,9.303385417,9.274088542,9.280598958,8.59375,8.69140625,10.25390625,3
254,0.809157453,0.816440139,0.783218884,9.274088542,9.280598958,9.202473958,8.69140625,10.25390625,8.3984375,3
255,0.816440139,0.783218884,0.785196792,9.280598958,9.202473958,9.19921875,10.25390625,8.3984375,8.69140625,3
256,0.783218884,0.785196792,0.822059846,9.202473958,9.19921875,9.274088542,8.3984375,8.69140625,10.7421875,3
257,0.785196792,0.822059846,0.858176421,9.19921875,9.274088542,9.326171875,8.69140625,10.7421875,10.64453125,3
258,0.822059846,0.858176421,0.863118246,9.274088542,9.326171875,9.319661458,10.7421875,10.64453125,8.59375,3
259,0.858176421,0.863118246,0.870421711,9.326171875,9.319661458,9.303385417,10.64453125,8.59375,8.69140625,3
260,0.863118246,0.870421711,0.848283937,9.319661458,9.303385417,9.261067708,8.59375,8.69140625,9.08203125,3
261,0.870421711,0.848283937,0.812806953,9.303385417,9.261067708,9.215494792,8.69140625,9.08203125,9.1796875,3
262,0.848283937,0.812806953,0.827343339,9.261067708,9.215494792,9.225260417,9.08203125,9.1796875,10.546875,3
263,0.812806953,0.827343339,0.865173232,9.215494792,9.225260417,9.261067708,9.1796875,10.546875,10.64453125,3
264,0.827343339,0.865173232,0.789929116,9.225260417,9.261067708,9.192708333,10.546875,10.64453125,9.08203125,3
265,0.865173232,0.789929116,0.808208597,9.261067708,9.192708333,9.150390625,10.64453125,9.08203125,8.203125,3
266,0.789929116,0.808208597,0.812503454,9.192708333,9.150390625,9.134114583,9.08203125,8.203125,8.69140625,3
267,0.808208597,0.812503454,0.76031579,9.150390625,9.134114583,9.186197917,8.203125,8.69140625,9.1796875,3
268,0.812503454,0.76031579,0.76031579,9.134114583,9.186197917,9.186197917,8.69140625,9.1796875,8.49609375,3
269,0.76031579,0.76031579,0.759305902,9.186197917,9.186197917,9.21875,9.1796875,8.49609375,9.66796875,3
270,0.76031579,0.759305902,0.771223602,9.186197917,9.21875,9.244791667,8.49609375,9.66796875,9.9609375,3
271,0.759305902,0.771223602,0.773841546,9.21875,9.244791667,9.241536458,9.66796875,9.9609375,8.59375,3
272,0.771223602,0.773841546,0.768725088,9.244791667,9.241536458,9.182942708,9.9609375,8.59375,8.3984375,3
273,0.773841546,0.768725088,0.766154046,9.241536458,9.182942708,9.117838542,8.59375,8.3984375,8.203125,3
274,0.768725088,0.766154046,0.777339576,9.182942708,9.117838542,9.095052083,8.3984375,8.203125,8.3984375,3
275,0.766154046,0.777339576,0.777339576,9.117838542,9.095052083,9.095052083,8.203125,8.3984375,8.59375,3
276,0.777339576,0.777339576,0.78573409,9.095052083,9.095052083,9.124348958,8.3984375,8.59375,9.765625,3
277,0.777339576,0.78573409,0.794391813,9.095052083,9.124348958,9.143880208,8.59375,9.765625,9.765625,3
278,0.78573409,0.794391813,0.824456566,9.124348958,9.143880208,9.182942708,9.765625,9.765625,10.3515625,3
279,0.794391813,0.824456566,0.820404699,9.143880208,9.182942708,9.189453125,9.765625,10.3515625,8.7890625,3
280,0.824456566,0.820404699,0,9.182942708,9.189453125,0,10.3515625,8.7890625,0,3
281,4.808960172,4.808960172,4.59265388,21.23697917,21.23697917,21.04166667,24.8046875,26.953125,23.2421875,4
282,4.808960172,4.59265388,4.497393061,21.23697917,21.04166667,20.92773438,26.953125,23.2421875,22.94921875,4
283,4.59265388,4.497393061,4.556581238,21.04166667,20.92773438,20.98958333,23.2421875,22.94921875,26.07421875,4
284,4.497393061,4.556581238,4.480136337,20.92773438,20.98958333,20.83984375,22.94921875,26.07421875,20.8984375,4
285,4.556581238,4.480136337,4.432894985,20.98958333,20.83984375,20.625,26.07421875,20.8984375,18.45703125,4
286,4.480136337,4.432894985,4.457259539,20.83984375,20.625,20.69010417,20.8984375,18.45703125,23.2421875,4
287,4.432894985,4.457259539,4.489253438,20.625,20.69010417,20.79427083,18.45703125,23.2421875,23.6328125,4
288,4.457259539,4.489253438,4.490392384,20.69010417,20.79427083,20.79752604,23.2421875,23.6328125,22.36328125,4
289,4.489253438,4.490392384,4.345610424,20.79427083,20.79752604,21.07421875,23.6328125,22.36328125,22.8515625,4
290,4.490392384,4.345610424,4.121586072,20.79752604,21.07421875,21.57226563,22.36328125,22.8515625,26.953125,4
291,4.345610424,4.121586072,3.668011139,21.07421875,21.57226563,22.1484375,22.8515625,26.953125,27.5390625,4
292,4.121586072,3.668011139,3.635388777,21.57226563,22.1484375,22.29492188,26.953125,27.5390625,23.6328125,4
293,3.668011139,3.635388777,3.656183094,22.1484375,22.29492188,22.41861979,27.5390625,23.6328125,24.8046875,4
294,3.635388777,3.656183094,3.654983638,22.29492188,22.41861979,22.47070313,23.6328125,24.8046875,23.14453125,4
295,3.656183094,3.654983638,3.541156147,22.41861979,22.47070313,22.63020833,24.8046875,23.14453125,22.4609375,4
296,3.654983638,3.541156147,3.158279879,22.47070313,22.63020833,22.74739583,23.14453125,22.4609375,13.8671875,4
297,3.541156147,3.158279879,2.904880305,22.63020833,22.74739583,22.94270833,22.4609375,13.8671875,21.97265625,4
298,3.158279879,2.904880305,2.97207461,22.74739583,22.94270833,22.86132813,13.8671875,21.97265625,19.3359375,4
299,2.904880305,2.97207461,3.167394943,22.94270833,22.86132813,22.6953125,21.97265625,19.3359375,16.796875,4
300,2.97207461,3.167394943,3.167394943,22.86132813,22.6953125,22.6953125,19.3359375,16.796875,25,4
301,3.167394943,3.167394943,3.194927209,22.6953125,22.6953125,22.58463542,16.796875,25,20.21484375,4
302,3.167394943,3.194927209,3.194927209,22.6953125,22.58463542,22.58463542,25,20.21484375,22.265625,4
303,3.194927209,3.194927209,3.284897387,22.58463542,22.58463542,22.42838542,20.21484375,22.265625,18.359375,4
304,3.194927209,3.284897387,3.48404735,22.58463542,22.42838542,22.19401042,22.265625,18.359375,16.015625,4
305,3.284897387,3.48404735,3.445590552,22.42838542,22.19401042,22.21679688,18.359375,16.015625,16.89453125,4
306,3.48404735,3.445590552,3.443163886,22.19401042,22.21679688,22.23307292,16.015625,16.89453125,21.97265625,4
307,3.445590552,3.443163886,3.452422181,22.21679688,22.23307292,22.05078125,16.89453125,21.97265625,19.23828125,4
308,3.443163886,3.452422181,3.44604228,22.23307292,22.05078125,21.81315104,21.97265625,19.23828125,18.45703125,4
309,3.452422181,3.44604228,3.411823229,22.05078125,21.81315104,21.65690104,19.23828125,18.45703125,20.1171875,4
310,3.44604228,3.411823229,3.283101579,21.81315104,21.65690104,21.40625,18.45703125,20.1171875,19.43359375,4
311,3.411823229,3.283101579,3.265701814,21.65690104,21.40625,21.35742188,20.1171875,19.43359375,21.77734375,4
312,3.283101579,3.265701814,3.285057561,21.40625,21.35742188,21.21744792,19.43359375,21.77734375,18.75,4
313,3.265701814,3.285057561,3.217446086,21.35742188,21.21744792,20.93424479,21.77734375,18.75,17.578125,4
314,3.285057561,3.217446086,3.254260818,21.21744792,20.93424479,20.84635417,18.75,17.578125,18.26171875,4
315,3.217446086,3.254260818,3.22845055,20.93424479,20.84635417,20.96354167,17.578125,18.26171875,21.97265625,4
316,3.254260818,3.22845055,3.226122187,20.84635417,20.96354167,20.96028646,18.26171875,21.97265625,23.14453125,4
317,3.22845055,3.226122187,3.190154564,20.96354167,20.96028646,20.83984375,21.97265625,23.14453125,20.01953125,4
318,3.226122187,3.190154564,3.25288115,20.96028646,20.83984375,20.91471354,23.14453125,20.01953125,24.609375,4
319,3.190154564,3.25288115,3.235783006,20.83984375,20.91471354,20.8203125,20.01953125,24.609375,20.01953125,4
320,3.25288115,3.235783006,0,20.91471354,20.8203125,0,24.609375,20.01953125,0,4
